playerID,playerName,byeWeek,passingAtt,passingCmp,passingYds,passingTD,passingInt,passing2pt,rushingAtt,rushingYds,rushingTD,rushing2pt,receivingRec,receivingYds,receivingTD,receiving2pt,fumbleLost,fumbleTD
1,Lamar Jackson,14,474,316,"4,172",41,4,0,139,915,4,1,0,0,0,0,5,0
2,Joe Burrow,12,652,460,"4,918",43,9,0,42,201,2,0,0,0,0,0,5,0
3,Baker Mayfield,11,570,407,"4,500",41,16,1,60,378,3,0,0,0,0,0,2,0
4,Josh Allen,12,483,307,"3,731",28,6,1,102,531,12,0,0,7,1,0,2,0
5,Jayden Daniels,14,480,331,"3,568",25,9,2,148,891,6,1,0,0,0,0,0,0
6,Jared Goff,5,539,390,"4,629",37,12,1,35,56,0,0,1,7,1,0,0,0
7,Sam Darnold,6,545,361,"4,319",35,12,0,67,212,1,0,0,0,0,0,4,0
8,Bo Nix,14,567,376,"3,775",29,12,0,92,430,4,0,1,2,1,0,0,0
9,Jalen Hurts,5,361,248,"2,903",18,5,0,150,630,14,0,0,0,0,0,5,0
10,Kyler Murray,11,541,372,"3,851",21,11,0,78,572,5,1,0,0,0,0,4,0
11,Justin Herbert,5,504,332,"3,870",23,3,3,69,306,2,0,0,0,0,0,2,0
12,Patrick Mahomes,6,581,392,"3,928",26,11,0,58,307,2,0,1,2,0,0,0,0
13,Saquon Barkley,5,0,0,0,0,0,0,345,"2,005",13,3,33,278,2,0,1,0
14,Derrick Henry,14,0,0,0,0,0,0,325,"1,921",16,0,19,193,2,0,1,0
15,Aaron Rodgers,12,584,368,"3,897",28,11,2,22,107,0,0,0,0,0,0,2,0
16,Brock Purdy,9,455,300,"3,864",20,12,0,66,323,5,0,0,0,0,0,3,0
17,Jahmyr Gibbs,5,0,0,0,0,0,0,250,"1,412",16,0,52,517,4,0,1,0
18,Geno Smith,10,578,407,"4,320",21,15,0,53,272,2,0,0,0,0,0,0,0
19,Caleb Williams,7,562,351,"3,541",20,6,3,81,489,0,0,0,0,0,0,5,0
20,Jordan Love,10,425,268,"3,389",25,11,3,25,83,1,0,0,0,0,0,0,0
21,Ja'Marr Chase,12,0,0,0,0,0,0,3,32,0,0,127,"1,708",17,0,0,0
22,Bijan Robinson,12,0,0,0,0,0,0,304,"1,456",14,1,61,431,1,0,0,0
23,C.J. Stroud,14,532,336,"3,727",20,12,0,52,233,0,0,0,0,0,0,4,0
24,Josh Jacobs,10,0,0,0,0,0,0,301,"1,329",15,0,36,342,1,0,3,0
